"WR","Overall","Player","Team","Bye","MFL","Fantrax","FFC","Sleeper","AVG"
"100","311","Willie Snead IV","CAR","13","","","","92","92.0"
"101","323","DeSean Jackson","LV","8","","92","","250","171.0"
"102","315","DeAndre Thompkins","GB","13","","","","93","93.0"
"103","326","Keke Coutee","IND","14","","93","","275","184.0"
"104","320","Jeremy Kerley","","","","94","94.0"
"105","330","Olamide Zaccheaus","ATL","6","","94","","252","173.0"
"106","","Isaac Zico","","","","95","95.0"
"107","332","Hunter Renfrow","LV","8","","95","","220","157.5"
"108","336","Travis Fulgham","MIA","14","","96","","","96.0"
"109","","Trenton Irwin","CIN","10","","","","96","96.0"
"110","339","David Moore","","97","","","97.0"
"111","","Kayaune Ross","","","","97","97.0"
"112","","Eric Rogers","","","","98","98.0"
"113","340","Quintez Cephus","DET","9 ","","98","","234","166.0"
"114","","Travis Jonsen","","","","99","99.0"
"115","","Dwayne Harris","","","","100","100.0"
"116","346","Josh Reynolds","DET","9","","100","","281","190.5"
"117","","Daurice Fountain","KC","12","","","","101","101.0"
"118","347","Tim Patrick","DEN","11","","101","","269","185.0"
"119","","C.J. Saunders","CAR","13","","","","102","102.0"
"120","352","Deonte Harris","NO","6","","102","","261","181.5"
"121","","Ricky Jeune","","","","103","103.0"
"122","353","Anthony Miller","PIT","7","","103","","277","190.0"
"123","","Devin Gray","","","","104","104.0"
"124","354","Rashard Higgins","CLE","13","","104","","260","182.0"
"125","","Branden Mack","","","","105","105.0"
"126","358","KJ Hamler","DEN","11 ","","105","","201","153.0"
"127","","Trent Taylor","CIN","10","","","","106","106.0"
"128","361","Zach Pascal","IND","14","","106","","247","176.5"
"129","362","Marquise Goodwin","CHI","10","","107","","","107.0"
"130","","Justin Blackmon","","","","108","108.0"
"131","367","Devin Funchess","SF","6","","108","","","108.0"
"132","","Alex Erickson","CAR","13","","","","109","109.0"
"133","371","Amari Rodgers","GB","13","","109","","217","163.0"
"134","","Kendal Thompson","","","","110","110.0"
"135","376","Dyami Brown","WAS","9","","110","","203","156.5"
"136","","Korey Robertson","","","","111","111.0"
"137","377","Albert Wilson","MIA","14","","111","","226","168.5"
"138","381","Kendrick Bourne","NE","14","","112","","","112.0"
"139","","Tre Walker","","","","112","112.0"
"140","383","Antonio Gandy-Golden","WAS","9","","113","","","113.0"
"141","","Trevon Grimes","","","","113","113.0"
"142","","J.T. Luper","","","","114","114.0"
"143","384","Van Jefferson","LAR","11","","114","","236","175.0"
"144","386","Keelan Cole Sr.","NYJ","6","","115","","","115.0"
"145","","Jermiah Braswell","","","","115","115.0"
"146","","Kent Shelby","","","","116","116.0"
"147","387","Tutu Atwell","LAR","11 ","","116","","280","198.0"
"148","","Shane Leatherbury","","","","117","117.0"
"149","388","James Washington","PIT","7","","117","","265","191.0"
"150","389","N'Keal Harry","NE","14","","118","","","118.0"
"151","","J.J. Arcega-Whiteside","PHI","14","","","","118","118.0"
"152","","Harvey Binford","","","","119","119.0"
"153","392","Cam Sims","WAS","9","","119","","258","188.5"
"154","","David Watford","","","","120","120.0"
"155","393","Jalen Guyton","LAC","7","","120","","225","172.5"
"156","","Dez Bryant","","","","121","121.0"
"157","394","Chris Conley","HOU","10","","121","","","121.0"
"158","","Marquis Bundy","","","","122","122.0"
"159","395","Shi Smith","CAR","13","","122","","","122.0"
"160","396","Preston Williams","MIA","14","","123","","264","193.5"
"161","","Malik Taylor","GB","13","","","","124","124.0"
"162","","Shaquelle Evans","","","","125","125.0"
"163","397","Damiere Byrd","CHI","10","","125","","262","193.5"
"164","","Chad Beebe","","","","126","126.0"
"165","398","Trent Sherfield","SF","6","","126","","259","192.5"
"166","","Eli Rogers","","","","127","127.0"
"167","399","Mike Strachan","IND","14","","127","","153","140.0"
"168","402","Jalen Hurd","","128","","","128.0"
"169","","Terry Wright","","","","128","128.0"
"170","405","Devin Smith","","129","","","129.0"
"171","","Marcus Tucker","","","","129","129.0"
"172","","Ventell Bryant","","","","130","130.0"
